page_url,page_title,organization_name,type,emails,contact_page_urls,phone_numbers,department,does_it_link_to_paperkarma,does_it_link_to_dmachoice,does_it_link_to_catalogchoice,page_summary
https://consumer.ftc.gov/how-stop-junk-mail,How To Stop Junk Mail | Consumer Advice,Ftc,gov,,https://consumer.ftc.gov/contact-us,888-567-8688,Consumer,no,yes,no,"Tired of having your mailbox crammed with ads and other mail you didn’t ask for, like preapproved credit card applications?"
https://consumer.ftc.gov/articles/what-know-about-prescreened-offers-credit-and-insurance,What To Know About Prescreened Offers for Credit and Insurance | Consumer Advice,Ftc,gov,,https://consumer.ftc.gov/contact-us,888-567-8688; 866-290-4236; 888-382-1222,Consumer,no,yes,no,Companies sometimes try to get new customers by sending “prescreened” offers. Learn how prescreening works and how to opt out.
https://www.ftc.gov/business-guidance/resources/can-spam-act-compliance-guide-business,CAN-SPAM Act: A Compliance Guide for Business | Federal Trade Commission,Ftc,gov,,https://www.ftc.gov/about-ftc/contact,888-734-3247; (877) 555-7726,Library,no,no,no,"Do you use email in your business? The CAN-SPAM Act, a law that sets the rules for commercial email, establishes requirements for commercial messages, gives recipients the right to have you stop email"
https://www.cisa.gov/news-events/news/reducing-spam,Reducing Spam | CISA,Cisa,gov,,https://www.cisa.gov/about/contact-us; https://www.cisa.gov/about/contact-us/subscribe-updates-cisa; https://www.cisa.gov/forms/feedback,,,no,no,no,"Spam is the electronic version of â€œjunk mail.â€ The term spam refers to unsolicited, often unwanted, email messages. Spam does not necessarily contain"
https://www.michigan.gov/consumerprotection/protect-yourself/consumer-alerts/id-theft-telemarketing/reduce-junk-mail,Reduce Your Junk Mail,Michigan,gov,,,877-765-8388; 517-335-7599; 517-241-3771,Mail,no,no,no,Consumer Alerts - ID Theft-Telemarketing - Reduce Your Junk Mail
https://portal.ct.gov/dcp/common-elements/consumer-facts-and-contacts/reducing-junk-mail,Reducing Junk Mail,Ct,gov,,https://portal.ct.gov/dcp/contact; https://portal.ct.gov/dcp/services/contact-us,888-567-8688; 212-768-7277,Mail,no,yes,no,The Data & Marketing Association’s Mail Preference Service lets consumers opt out of receiving unsolicited commercial mail from many national companies for ten years at a time. Once you register with
https://datcp.wi.gov/Pages/Publications/JunkMailUnwantedCalls140.aspx,"DATCP Home
            
            
            Unwanted Junk: Mail, Calls, Emails, Texts, Faxes",Datcp,gov,,,800-947-3529; (608) 224-5012; (888-567-8688,Mail,no,yes,no,State of Wisconsin
https://ncdoj.gov/protecting-consumers/mail-cable-tv/reduce-junk-mail/,Reduce Junk Mail (SPAM) - NC Department of Justice.,Ncdoj,gov,,https://ncdoj.gov/law-enforcement-training/criminal-justice/contact/; https://ncdoj.gov/contact-doj/,(919) 661-5980; (919) 779-8210; 919-716-6000,Mail,no,no,no,Reduce Junk Mail. Those pre-approved credit card offers you get are tempting to identity thieves. If you throw them away a criminal could use against you.
https://consumer.sd.gov/fastfacts/junkmail.aspx,Junk Mail and OptOut - South Dakota Consumer Protection,Sd,gov,,https://consumer.sd.gov/contact.aspx,,Mail,no,yes,no,Print PDF
https://consumer.sd.gov/fastfacts/OptOut.aspx,Opt-Out - South Dakota Consumer Protection,Sd,gov,,https://consumer.sd.gov/contact.aspx,,,no,yes,no,Print PDF
https://www.oregonmetro.gov/waste-disposal-and-prevention,Waste disposal and prevention | Metro,Oregonmetro,gov,,https://www.oregonmetro.gov/contact,503-797-1700; 503-234-3000,Waste,no,no,no,"From cleaning recipes to pest control videos to a database of recyclers around the region, ask Metro for tools that help you cultivate a safe and healthy home – and save a little money, too."
https://www.seattle.gov/utilities/protecting-our-environment/sustainability-tips/waste-prevention/at-home/stop-junk-mail,Stop Junk Mail - Utilities | seattle.gov,Seattle,gov,SPUCustomerService@seattle.gov,https://www.seattle.gov/utilities/construction-resources/payments-and-forms/contact-us,(206) 684-3000,Mail,no,yes,yes,Stop Junk Mail
https://seattle.gov/utilities/protecting-our-environment/sustainability-tips/waste-prevention/for-businesses/reduce-paper-waste,Reduce Paper Waste - Utilities | seattle.gov,Seattle,gov,SPUCustomerService@seattle.gov,https://seattle.gov/utilities/construction-resources/payments-and-forms/contact-us,(206) 684-3000,Waste,no,no,no,Reduce Paper Waste
https://bellevuewa.gov/city-government/departments/utilities/manage-your-utility-services/solid-waste/stop_junk_mail_and_reduce_paper_waste,Stop Junk Mail | City of Bellevue,Bellevuewa,gov,ADATitleVI@bellevuewa.gov; servicefirst@bellevuewa.gov,https://bellevuewa.gov/mybellevue-chatbot-feedback; https://bellevuewa.gov/contact-us,425-452-6800,Mail,no,yes,yes,Tell us what we are doing well and where we can improve. Your feedback helps shape future utility services for our growing community. Complete the survey and tell your neighbors by April 30: bit.ly/Be
https://www.longbeach.gov/lbrecycles/waste-reduction/reduce-waste/no-more-junk-mail/,No More Junk Mail,Longbeach,gov,,https://www.longbeach.gov/jobs/contact-us/,562-570-2200; 562-570-6751; 562-570-6101,Waste,no,no,no,"With just a few easy steps, you can reduce junk mail at home. Less unwanted mail means less clutter and more savings of trees, energy, and water."
https://www.friscotexas.gov/549/Save-Paper-Reduce-Junk-Mail,"Reduce Junk Mail | Frisco, TX - Official Website",Friscotexas,gov,,,972-292-5917; 972-292-5000; 972-292-5900,Mail,no,yes,no,Reduce the amount of junk mail cluttering up your life and help reduce waste too!
https://www.azusaca.gov/457/Reduce-Junk-Mail,"Reduce Unwanted Junk Mail | Azusa, CA - Official Website",Azusaca,gov,,,,Mail,no,yes,no,Reduce Junk Mail
https://www.in.gov/idem/recycle/resources/junk-mail/junk-mail-ideas-for-businesses/,IDEM: Recycle Indiana: Junk Mail: Ideas for Businesses,In,gov,info@idem.IN.gov,https://www.in.gov/idem/recycle/contact; https://www.in.gov/idem/contact; https://www.in.gov/idem/contact/file-a-complaint,800-457-8283; 888-311-1846; (800) 451-6027,Mail,no,no,no,Frequent Searches
https://nyassembly.gov/comm/Consumer/20080501v/,Junk Mail,Nyassembly,gov,,,,,no,no,no,Junk Mail
https://environment.westchestercountyny.gov/wastewater-and-water-division,Wastewater and Water Division,Environment,gov,,https://environment.westchestercountyny.gov/facilities/contact-us; https://environment.westchestercountyny.gov/wastewater-and-water/contact-def,(914) 995-2000,Waste,no,no,no,
https://idp.u.washington.edu/idp/profile/SAML2/Redirect/SSO?execution=e1s1,UW NetID sign-in,Idp,edu,,,,,no,no,no,Please sign in.
